sumber_dataset,jenis_harga,level_wilayah,tahun,bulan,bulan_angka,komoditas,provinsi,harga,periode,month_index,harga_sebelumnya,rata_rata_3_bulan,volatilitas_3_bulan,perubahan_harga,persentase_kenaikan,komoditas_encoded,provinsi_encoded,jenis_harga_encoded,level_wilayah_encoded,harga_zscore_komoditas,status_harga,indeks
demo_sintetis,konsumen,provinsi,2022,1,1,Bawang Merah,Banten,32940.85,2022-01-01,24265,32940.85,32940.85,0.0,0.0,0.0,0,0,0,0,-0.4873038010633157,Normal,0
demo_sintetis,konsumen,provinsi,2022,2,2,Bawang Merah,Banten,32969.73,2022-02-01,24266,32940.85,32955.29,20.421243840670787,28.880000000004657,0.08767229746653367,0,0,0,0,-0.4769369147308424,Normal,0
demo_sintetis,konsumen,provinsi,2022,3,3,Bawang Merah,Banten,35195.37,2022-03-01,24267,32969.73,33701.98333333334,1293.3914008270401,2225.6399999999994,6.7505557370351505,0,0,0,0,0.32198818558087244,Normal,0
demo_sintetis,konsumen,provinsi,2022,4,4,Bawang Merah,Banten,32171.47,2022-04-01,24268,35195.37,33445.52333333334,1567.091980240258,-3023.9000000000015,-8.591755108697539,0,0,0,0,-0.7634836835590586,Normal,0
demo_sintetis,konsumen,provinsi,2022,5,5,Bawang Merah,Banten,35567.1,2022-05-01,24269,32171.47,34311.31333333333,1862.4561516001716,3395.6299999999974,10.554786585754389,0,0,0,0,0.4554259506906254,Warning,0
demo_sintetis,konsumen,provinsi,2022,6,6,Bawang Merah,Banten,32860.67,2022-06-01,24270,35567.1,33533.08,1794.9031116748317,-2706.4300000000003,-7.609363709720501,0,0,0,0,-0.516085551275836,Normal,0
demo_sintetis,konsumen,provinsi,2022,7,7,Bawang Merah,Banten,31977.02,2022-07-01,24271,32860.67,33468.26333333333,1870.5736675237706,-883.6499999999978,-2.689080898228788,0,0,0,0,-0.8332842738412307,Normal,0
demo_sintetis,konsumen,provinsi,2022,8,8,Bawang Merah,Banten,31265.84,2022-08-01,24272,31977.02,32034.51,798.9677761336891,-711.1800000000003,-2.2240346348721687,0,0,0,0,-1.0885724394204286,Normal,0
demo_sintetis,konsumen,provinsi,2022,9,9,Bawang Merah,Banten,32282.81,2022-09-01,24273,31265.84,31841.89,521.7778098961436,1016.9700000000012,3.252655294084538,0,0,0,0,-0.7235166086193979,Normal,0
demo_sintetis,konsumen,provinsi,2022,10,10,Bawang Merah,Banten,29122.81,2022-10-01,24274,32282.81,30890.486666666664,1613.092555817352,-3160.0,-9.788491150553497,0,0,0,0,-1.857843506493726,Normal,0
demo_sintetis,konsumen,provinsi,2022,11,11,Bawang Merah,Banten,35622.36,2022-11-01,24275,29122.81,32342.660000000003,3250.1883126212874,6499.549999999999,22.317729642160213,0,0,0,0,0.47526231283509934,Alert,0
demo_sintetis,konsumen,provinsi,2022,12,12,Bawang Merah,Banten,34106.83,2022-12-01,24276,35622.36,32950.666666666664,3400.5253697970466,-1515.5299999999988,-4.254434574239323,0,0,0,0,-0.06875871360017882,Normal,0
demo_sintetis,konsumen,provinsi,2023,1,1,Bawang Merah,Banten,36496.21,2023-01-01,24277,34106.83,35408.46666666667,1208.965245419943,2389.3799999999974,7.00557630245906,0,0,0,0,0.7889431861602512,Warning,0
